FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITF5,Basilicata,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,31.101015,,
A,Annuale,ITF5,Basilicata,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,31.458539,,
A,Annuale,ITF6,Calabria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,23.868843,,
A,Annuale,ITF6,Calabria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,23.319006,,
A,Annuale,ITF6,Calabria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,22.023033,,
A,Annuale,ITF6,Calabria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,23.068319,,
A,Annuale,ITF6,Calabria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,23.853158,,
A,Annuale,ITF6,Calabria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,24.393658,,
A,Annuale,ITF6,Calabria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,24.812753,,
A,Annuale,ITG1,Sicilia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,22.417793,,
A,Annuale,ITG1,Sicilia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,22.850607,,
A,Annuale,ITG1,Sicilia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,21.930742,,
A,Annuale,ITG1,Sicilia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,22.118369,,
A,Annuale,ITG1,Sicilia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,22.882056,,
A,Annuale,ITG1,Sicilia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,24.545178,,
A,Annuale,ITG1,Sicilia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,26.209093,,
A,Annuale,ITG2,Sardegna,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,33.435377,,
A,Annuale,ITG2,Sardegna,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,35.046622,,
A,Annuale,ITG2,Sardegna,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,33.09878,,
A,Annuale,ITG2,Sardegna,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,33.861894,,
A,Annuale,ITG2,Sardegna,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,33.715801,,
A,Annuale,ITG2,Sardegna,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,35.152264,,
A,Annuale,ITG2,Sardegna,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,36.09056,,
